,Tên hãng xe,Năm sản xuất,Tỉnh,Tình trạng,Số Km đã đi,Xuất xứ,Kiểu dáng,Hộp số,Màu ngoại thất,Màu nội thất,Số chỗ ngồi,Số cửa,Dẫn động,Loại động cơ,Dung tích,Giá
7535,Hyundai,2019,Hà Nội,Cũ,70000.0,Lắp ráp trong nước,Sedan,Số tay,Bạc,Kem,5,4,FWD,Xăng,1.25,252.0
6774,Hyundai,2024,TP HCM,Mới,0.0,Lắp ráp trong nước,SUV,Số tự động,Trắng,Nâu,7,5,AWD,Dầu,2.2,1529.0
7678,Hyundai,2021,TP HCM,Cũ,45000.0,Lắp ráp trong nước,Crossover,Số tự động,Đỏ,Kem,5,5,FWD,Xăng,2.0,760.0
12720,Mazda,2024,Thanh Hóa,Mới,0.0,Lắp ráp trong nước,SUV,Số tự động,Trắng,Đen,5,5,FWD,Xăng,2.0,759.0
5429,Hyundai,2018,Hà Nội,Cũ,48000.0,Lắp ráp trong nước,SUV,Số tự động,Đen,Kem,7,5,4WD,Xăng,2.4,748.0
3888,Ford,2018,Hà Nội,Cũ,70000.0,Nhập khẩu,Bán tải / Pickup,Số tự động,Xanh,Đen,5,4,4WD,Dầu,2.0,820.0
16905,Mercedes Benz,2014,Hà Nội,Cũ,83000.0,Lắp ráp trong nước,Sedan,Số tự động,Xám,Kem,5,4,RFD,Xăng,3.0,1099.0
12698,Mazda,2019,Hà Nội,Cũ,60000.0,Lắp ráp trong nước,SUV,Số tự động,Đỏ,Đen,5,5,FWD,Xăng,2.0,670.0
8211,Isuzu,2014,Hà Nội,Cũ,140000.0,Nhập khẩu,Bán tải / Pickup,Số tự động,Bạc,Đen,5,4,4WD,Dầu,3.0,382.0
10156,Kia,2022,Hà Nội,Cũ,25000.0,Lắp ráp trong nước,Van/Minivan,Số tự động,Đen,Hồng,7,5,FWD,Xăng,3.5,1380.0
18188,Mitsubishi,2022,Hà Nội,Cũ,60000.0,Lắp ráp trong nước,SUV,Số tự động,Xám,Đen,7,5,FWD,Xăng,2.0,705.0
17613,Mitsubishi,2021,Vĩnh Phúc,Cũ,60000.0,Nhập khẩu,Sedan,Số tay,Trắng,Nhiều màu,5,4,FWD,Xăng,1.2,300.0
11042,Lexus,2024,Hà Nội,Mới,0.0,Nhập khẩu,SUV,Số tự động,Đỏ,Đen,5,5,AWD,Xăng,2.4,4330.0
10621,Kia,2010,Hà Nội,Cũ,140000.0,Nhập khẩu,Sedan,Số tự động,Bạc,Đen,5,4,FWD,Xăng,1.6,250.0
