Tên hãng xe,Năm sản xuất,Tỉnh,Tình trạng,Số Km đã đi,Xuất xứ,Kiểu dáng,Hộp số,Màu ngoại thất,Màu nội thất,Số chỗ ngồi,Số cửa,Dẫn động,Loại động cơ,Dung tích,Giá
Hyundai,2021,Thái Bình,Cũ,13000.0,Lắp ráp trong nước,Sedan,Số tự động,Trắng,Xám,5,4,FWD,Xăng,1.25,395.0
Mazda,2018,Hà Nội,Cũ,72000.0,Lắp ráp trong nước,SUV,Số tự động,Đỏ,Đen,5,5,FWD,Xăng,2.0,645.0
Toyota,2024,Hà Nội,Mới,0.0,Lắp ráp trong nước,SUV,Số tự động,Trắng,Đen,7,5,FWD,Xăng,1.5,591.0
Mazda,2009,Hà Nội,Cũ,105000.0,Nhập khẩu,Hatchback,Số tự động,Tím,Đen,5,5,FWD,Xăng,1.6,266.0
MG,2024,Hà Nội,Mới,0.0,Nhập khẩu,Crossover,Số tự động,Đen,Đen,5,5,FWD,Xăng,1.5,443.0
Kia,2024,Hà Nội,Mới,0.0,Lắp ráp trong nước,Crossover,Số tự động,Cát,Đen,5,5,FWD,Xăng,1.5,584.0
VinFast,2019,Hà Nội,Cũ,50000.0,Lắp ráp trong nước,SUV,Số tự động,Bạc,Nâu,7,5,RFD,Xăng,2.0,655.0
Hyundai,2020,Hà Nội,Cũ,40000.0,Lắp ráp trong nước,SUV,Số tự động,Trắng,Nhiều màu,7,5,AWD,Dầu,2.2,939.0
Ford,2024,Hà Nội,Mới,0.0,Nhập khẩu,SUV,Số tự động,Đen,Đen,7,5,RFD,Dầu,2.0,1234.0
Hyundai,2022,Hà Nội,Cũ,9000.0,Lắp ráp trong nước,Sedan,Số tự động,Trắng,Đen,5,4,FWD,Xăng,1.6,625.0
Toyota,2003,Hòa Bình,Cũ,250000.0,Lắp ráp trong nước,Sedan,Số tự động,Đen,Ghi,5,4,FWD,Xăng,3.0,158.0
Hyundai,2024,TP HCM,Mới,0.0,Lắp ráp trong nước,Sedan,Số tay,Bạc,Nhiều màu,5,4,FWD,Xăng,1.4,390.0
Ford,2022,Bình Dương,Cũ,18000.0,Lắp ráp trong nước,Bán tải / Pickup,Số tự động,Trắng,Đen,5,4,RFD,Dầu,2.0,636.0
MG,2023,Ninh Bình,Mới,0.0,Nhập khẩu,Crossover,Số tự động,Ghi,Đen,5,5,FWD,Xăng,1.5,709.0
Chevrolet,2014,TP HCM,Cũ,50000.0,Nhập khẩu,Coupe,Số tự động,Vàng,Nhiều màu,4,2,RFD,Xăng,3.6,1460.0
Kia,2022,Hà Nội,Cũ,20000.0,Lắp ráp trong nước,Crossover,Số tự động,Cam,Kem,5,5,FWD,Xăng,1.4,650.0
VinFast,2022,TP HCM,Cũ,23710.0,Lắp ráp trong nước,Crossover,Số tự động,Trắng,Nâu,5,5,FWD,Điện,0.1,490.0
Kia,2021,TP HCM,Cũ,35000.0,Lắp ráp trong nước,Van/Minivan,Số tự động,Xanh,Nâu,8,5,FWD,Dầu,2.2,1188.0
Mazda,2022,Lâm Đồng,Cũ,45000.0,Lắp ráp trong nước,SUV,Số tự động,Xanh,Đen,5,5,FWD,Xăng,2.0,788.0
Lexus,2022,Hà Nội,Cũ,18000.0,Nhập khẩu,Sedan,Số tự động,Trắng,Nâu,5,4,FWD,Xăng,2.5,2399.0
Mercedes Benz,2021,TP HCM,Cũ,25000.0,Nhập khẩu,SUV,Số tự động,Trắng,Đen,7,5,RFD,Xăng,1.3,1378.0
Nissan,2023,TP HCM,Mới,0.0,Nhập khẩu,Bán tải / Pickup,Số tự động,Trắng,Đen,5,4,4WD,Dầu,2.3,795.0
Ford,2015,Hà Nội,Cũ,98000.0,Nhập khẩu,Bán tải / Pickup,Số tự động,Trắng,Ghi,5,4,RFD,Dầu,2.2,390.0
Porsche,2019,Hà Nội,Cũ,30000.0,Nhập khẩu,SUV,Số tự động,Đen,Đỏ,5,5,AWD,Xăng,2.9,4580.0
Mercedes Benz,2017,Hà Nội,Cũ,80000.0,Lắp ráp trong nước,Sedan,Số tự động,Đen,Đen,5,4,RFD,Xăng,2.0,678.0
Hyundai,2024,Hà Nội,Mới,0.0,Lắp ráp trong nước,Crossover,Số tự động,Trắng,Nâu,5,5,AWD,Xăng,1.6,902.0
Toyota,2010,Bắc Ninh,Cũ,160000.0,Lắp ráp trong nước,Sedan,Số tự động,Bạc,Đen,5,4,FWD,Xăng,3.5,375.0
Toyota,2021,Hà Nội,Cũ,35000.0,Nhập khẩu,SUV,Số tự động,Đen,Đen,7,5,4WD,Xăng,2.7,2630.0
